<<<<<<< HEAD
12 6 11
12 4 15
17 14 11
5 4 18
19 6 7
8 13 15
20 10 7
11 2 4
12 17 7
20 3 11
11 16 18
1 16 9
19 14 11
5 7 19
8 7 18
6 3 10
3 16 17
11 15 13
19 4 16
14 9 8
17 2 17
10 7 2
8 2 8
11 16 9
11 14 17
1 1 19
13 11 2
9 6 4
7 5 9
10 1 3
8 3 2
10 12 10
11 14 2
3 2 4
10 2 5
18 7 18
5 9 5
19 18 1
13 14 6
11 3 17
16 6 17
18 14 4
12 5 14
18 5 20
14 3 1
20 19 1
8 3 9
18 5 13
17 6 8
18 10 12
19 16 15
15 10 11
9 15 1
19 2 5
17 6 1
2 13 19
14 13 14
12 9 11
10 13 9
15 4 17
2 9 8
17 7 12
2 9 1
18 2 5
17 3 16
16 9 14
16 7 13
10 16 6
11 2 9
19 3 2
4 13 1
6 14 10
5 8 18
7 6 18
11 14 13
14 11 17
4 9 15
11 10 2
8 16 6
16 7 9
11 18 18
11 13 9
5 5 16
3 14 8
13 7 19
5 6 3
8 5 3
4 1 13
7 9 2
11 6 11
20 3 18
3 3 2
16 2 15
15 8 16
6 18 3
15 2 6
19 2 5
1 19 14
5 7 16
=======
12 6 11
12 4 15
17 14 11
5 4 18
19 6 7
8 13 15
20 10 7
11 2 4
12 17 7
20 3 11
11 16 18
1 16 9
19 14 11
5 7 19
8 7 18
6 3 10
3 16 17
11 15 13
19 4 16
14 9 8
17 2 17
10 7 2
8 2 8
11 16 9
11 14 17
1 1 19
13 11 2
9 6 4
7 5 9
10 1 3
8 3 2
10 12 10
11 14 2
3 2 4
10 2 5
18 7 18
5 9 5
19 18 1
13 14 6
11 3 17
16 6 17
18 14 4
12 5 14
18 5 20
14 3 1
20 19 1
8 3 9
18 5 13
17 6 8
18 10 12
19 16 15
15 10 11
9 15 1
19 2 5
17 6 1
2 13 19
14 13 14
12 9 11
10 13 9
15 4 17
2 9 8
17 7 12
2 9 1
18 2 5
17 3 16
16 9 14
16 7 13
10 16 6
11 2 9
19 3 2
4 13 1
6 14 10
5 8 18
7 6 18
11 14 13
14 11 17
4 9 15
11 10 2
8 16 6
16 7 9
11 18 18
11 13 9
5 5 16
3 14 8
13 7 19
5 6 3
8 5 3
4 1 13
7 9 2
11 6 11
20 3 18
3 3 2
16 2 15
15 8 16
6 18 3
15 2 6
19 2 5
1 19 14
5 7 16
>>>>>>> f4e45236cb1afdf97c95264fc0bb85b43b98b34b
9 14 9
